Liu Yu,刘宇,Bi Yo Bi Yo,A,6,t,1
Santa,赞多,Avex Warp,C,2,t,2
Mika,米卡,Avex,B,1,t,3
Rikimaru,力丸,Avex Warp,A,8,t,4
Patrick,尹浩宇,Insight Entertainment,C,12,t,5
Caelan,庆怜,Avex,C,11,t,6
Zhou Keyu,周柯宇,Jaywalk Newjoy,C,3,t,7
Nine,高卿尘,Insight Entertainment,C,15,t,8
Lin Mo,林墨,Original Plan,B,9,t,9
Bo Yuan,伯远,White Media,B,36,t,10
Zhang Jiayuan,张嘉元,Wajijiwa Entertainment,B,7,t,11
Lelush,利路修,King Holdings,B,49,t,12
Liu Zhang,刘彰,W8VES,B,13,t,13
Hiroto,井汲大翔,RBW,A,29,t,14
Zhang Xingte,张星特,Flowsixteen,B,27,t,15
Gan Wangxing,甘望星,Yuxiao Media,C,14,t,16
Oscar,奥斯卡,Hot Idol,C,10,t,17
Wu Yuheng,吴宇恒,Pu Li Sai Si,A,16,t,18
Fu Sichao,付思超,Wajijiwa Entertainment,B,20,t,19
Ren Yinpeng,任胤蓬,Wajijiwa Entertainment,A,5,t,20
Zhang Xinyao,张欣尧,Joy Media,B,17,t,21
Xue Bayi,薛八一,Hao Han Entertainment,B,47,t,22
Yu Gengyin,俞更寅,Yu Gengyin Studio,B,28,t,23
Amu,哈木达,REVIVE,F,32,t,24
Jing Long,井胧,Individual Trainee,C,18,t,25
Zeng Hanjiang,曾涵江,M+ Entertainment,B,41,t,26
Hu Yetao,胡烨韬,MISTAR,A,34,t,27
He Yifan,何屹繁,Hao Xin Entertainment,F,26,t,28
Wu Hai,吴海,Hippo Film,B,68,t,29
Xie Xingyang,谢兴阳,Bad Water Entertainment,B,53,t,30
Wei Ziyue,魏子越,Meng Yang Entertainment,A,38,t,31
Zhang Teng,张腾,Individual Trainee,B,23,t,32
Rong Yao,荣耀,I.E.One Entertainment,F,37,t,33
